runner,game,category,console,estimate,incentive_text
mogswe,Mega Man X8 16 - bit,100%,PC,PT55M,"Mega Man X8 16-bit is a fan-made reimagining of Mega Man X8 in SNES style. This 100% speedrun collects all upgrades while using fast movement, glitches, and optimized routing. The run builds momentum as abilities unlock, leading to faster gameplay and explosive boss fights. Rarely seen at marathons, it offers a fresh yet familiar Mega Man experience. There will also be a possibility showcase the modded character Awakened Zero as an incentive for even more action. 100% (no gateway glitch) requires collecting all upgrades, items, and unlockables as fast as possible. The route is optimized to use new abilities immediately for faster movement and easier fights. Compared to any%, it showcases more mechanics, routing, and advanced gameplay."
ocke,Bejeweled 3,Unlock all modes,PC,PT15M,"The classic match-3 game, where you need to combine 3 or more gems of the same color to create as many or large matches as possible. This mode focuses on unlocking the four bonus modes of the game, showcasing the main modes while doing so. A really nice way to showcase how a simple game can get a lot more replayability through game modes."
jokaah,Hammerin' Harry,Any%,Nintendo Entertainment System,PT15M,"A fun, short, underrated little platformer with perfect 30s breaks for donation reading ;)
Not much more to say. You swing a hammer at enemies. Sometimes the hammer is very big. I think this would make a great little race. Beat the game as fast as possible"
jokaah,NES micro game relay race (3v3),3v3 relay race,Nintendo Entertainment System,PT1H,"6 players, 3 teams, 12 or 15 short (<3 min) NES games back to back! After each game is complete, we swap player and start the next game. 
The game-list is not nailed down yet, but some alternatives are A Boy and His Blob, Chessmaster, Donkey Kong Jr., Where's Waldo,  Skate or Die, Mickey's Safari in Letterland... etc :) The video is Apollo's ""Nintendo Power (Half) Hour"" run from a few years ago, which is kinda similar to what we are going for.
Note: The runners are me, Fleke, Zarconis, Jkl, Apollo and sYn, but apparently max 4 people can join the submission :')"
fleke,Megaman 1 Coop Race,Any% 2p1c (2 players 1 controller),Nintendo Entertainment System,PT40M,"Fleke+Niss3 vs Dxtr+Cartina in an Epic showdown, we will race, 2 players on one controller for each team. One person controlling Dpad + Select and other person doing Start + A + B. All Stages Any%, we will be doing some zips and glitches, nothing that beats stages without killing the bosses though. The difference here will be each team will only have 1 controller on 2 people so as they say, sharing is caring!"
mogswe,Mega Man X8 16 - bit,100%,PC,PT55M,"Mega Man X8 16-bit is a fan-made reimagining of Mega Man X8 in SNES style. This 100% speedrun collects all upgrades while using fast movement, glitches, and optimized routing. The run builds momentum as abilities unlock, leading to faster gameplay and explosive boss fights. Rarely seen at marathons, it offers a fresh yet familiar Mega Man experience. There will also be a possibility showcase the modded character Awakened Zero as an incentive for even more action. 100% (no gateway glitch) requires collecting all upgrades, items, and unlockables as fast as possible. The route is optimized to use new abilities immediately for faster movement and easier fights. Compared to any%, it showcases more mechanics, routing, and advanced gameplay."
ocke,Bejeweled 3,Unlock all modes,PC,PT15M,"The classic match-3 game, where you need to combine 3 or more gems of the same color to create as many or large matches as possible. This mode focuses on unlocking the four bonus modes of the game, showcasing the main modes while doing so. A really nice way to showcase how a simple game can get a lot more replayability through game modes."
jokaah,Hammerin' Harry,Any%,Nintendo Entertainment System,PT15M,"A fun, short, underrated little platformer with perfect 30s breaks for donation reading ;)
Not much more to say. You swing a hammer at enemies. Sometimes the hammer is very big. I think this would make a great little race. Beat the game as fast as possible"
jokaah,NES micro game relay race (3v3),3v3 relay race,Nintendo Entertainment System,PT1H,"6 players, 3 teams, 12 or 15 short (<3 min) NES games back to back! After each game is complete, we swap player and start the next game. 
The game-list is not nailed down yet, but some alternatives are A Boy and His Blob, Chessmaster, Donkey Kong Jr., Where's Waldo,  Skate or Die, Mickey's Safari in Letterland... etc :) The video is Apollo's ""Nintendo Power (Half) Hour"" run from a few years ago, which is kinda similar to what we are going for.
Note: The runners are me, Fleke, Zarconis, Jkl, Apollo and sYn, but apparently max 4 people can join the submission :')"
fleke,Megaman 1 Coop Race,Any% 2p1c (2 players 1 controller),Nintendo Entertainment System,PT40M,"Fleke+Niss3 vs Dxtr+Cartina in an Epic showdown, we will race, 2 players on one controller for each team. One person controlling Dpad + Select and other person doing Start + A + B. All Stages Any%, we will be doing some zips and glitches, nothing that beats stages without killing the bosses though. The difference here will be each team will only have 1 controller on 2 people so as they say, sharing is caring!"
